,region,pm,horizon,accuracy,hit,pod,far,f1
0,R4_59,PM10,3,0.6477272727272727,0.08333333333333333,0.08333333333333333,0.9,0.09090909090909091
1,R4_59,PM10,4,0.65625,0.16666666666666666,0.16666666666666666,0.8,0.18181818181818182
2,R4_59,PM10,5,0.6420454545454546,0.0,0.08333333333333333,0.8888888888888888,0.09523809523809525
3,R4_59,PM10,6,0.5909090909090909,0.08333333333333333,0.08333333333333333,0.9090909090909091,0.08695652173913045
4,R4_59,PM25,3,0.5340909090909091,0.4411764705882353,0.6176470588235294,0.6956521739130435,0.4077669902912621
5,R4_59,PM25,4,0.5284090909090909,0.5,0.5588235294117647,0.7466666666666667,0.34862385321100914
6,R4_59,PM25,5,0.5085227272727273,0.29411764705882354,0.38235294117647056,0.8194444444444444,0.24528301886792456
7,R4_59,PM25,6,0.5284090909090909,0.2647058823529412,0.35294117647058826,0.8064516129032258,0.25
8,R4_60,PM10,3,0.6079545454545454,0.18181818181818182,0.18181818181818182,0.8888888888888888,0.13793103448275865
9,R4_60,PM10,4,0.6534090909090909,0.2727272727272727,0.2727272727272727,0.8235294117647058,0.2142857142857143
10,R4_60,PM10,5,0.6278409090909091,0.0,0.09090909090909091,0.9,0.09523809523809522
11,R4_60,PM10,6,0.5767045454545454,0.18181818181818182,0.18181818181818182,0.8888888888888888,0.13793103448275865
12,R4_60,PM25,3,0.5113636363636364,0.5294117647058824,0.7352941176470589,0.6987951807228916,0.42735042735042733
13,R4_60,PM25,4,0.5,0.5882352941176471,0.6470588235294118,0.7441860465116279,0.3666666666666667
14,R4_60,PM25,5,0.5,0.4117647058823529,0.47058823529411764,0.8,0.28070175438596484
15,R4_60,PM25,6,0.5,0.3235294117647059,0.4117647058823529,0.8133333333333334,0.2568807339449541
16,R4_61,PM10,3,0.6164772727272727,0.21428571428571427,0.21428571428571427,0.7857142857142857,0.21428571428571427
17,R4_61,PM10,4,0.6335227272727273,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.2857142857142857
18,R4_61,PM10,5,0.6221590909090909,0.14285714285714285,0.14285714285714285,0.875,0.13333333333333333
19,R4_61,PM10,6,0.5823863636363636,0.21428571428571427,0.21428571428571427,0.7272727272727273,0.23999999999999996
20,R4_61,PM25,3,0.5085227272727273,0.4634146341463415,0.5853658536585366,0.6619718309859155,0.42857142857142855
21,R4_61,PM25,4,0.48011363636363635,0.36585365853658536,0.4146341463414634,0.7536231884057971,0.3090909090909091
22,R4_61,PM25,5,0.4943181818181818,0.2926829268292683,0.36585365853658536,0.7761194029850746,0.2777777777777778
23,R4_61,PM25,6,0.4772727272727273,0.21951219512195122,0.34146341463414637,0.7666666666666667,0.27722772277227725
24,R4_62,PM10,3,0.6221590909090909,0.1875,0.1875,0.7272727272727273,0.2222222222222222
25,R4_62,PM10,4,0.6477272727272727,0.1875,0.1875,0.7272727272727273,0.2222222222222222
26,R4_62,PM10,5,0.6392045454545454,0.0625,0.125,0.75,0.16666666666666666
27,R4_62,PM10,6,0.5710227272727273,0.125,0.125,0.8461538461538461,0.13793103448275862
28,R4_62,PM25,3,0.5,0.38636363636363635,0.5909090909090909,0.6904761904761905,0.40625000000000006
29,R4_62,PM25,4,0.5113636363636364,0.5227272727272727,0.6136363636363636,0.6707317073170732,0.42857142857142855
30,R4_62,PM25,5,0.4914772727272727,0.3181818181818182,0.4090909090909091,0.7857142857142857,0.28125000000000006
31,R4_62,PM25,6,0.4943181818181818,0.25,0.36363636363636365,0.7647058823529411,0.28571428571428575
32,R4_63,PM10,3,0.7159090909090909,0.0,0.0,1.0,0.0
33,R4_63,PM10,4,0.7045454545454546,0.25,0.25,0.5,0.3333333333333333
34,R4_63,PM10,5,0.6988636363636364,0.25,0.25,0.75,0.25
35,R4_63,PM10,6,0.6761363636363636,0.0,0.0,1.0,0.0
36,R4_63,PM25,3,0.5909090909090909,0.4,0.5,0.8305084745762712,0.25316455696202533
